# case	disease	pipeline_name	pipeline_version	timestamp	C3Y	DCC_path	filesize	file_format	md5sum	Sample Type	Sample_Name_Seq_R1	UUID1_R1	Sample_Name_Seq_R2	UUID_R2
C3L-00016_tumor	GBM	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00016_tumor.transcripts.gtf.gz	23420987	gtf	e884b029a5600faf38bacd8ecfdf090b	tumor	C3L-00016.RNA-Seq.R1.T	b9a867a6-3d0e-4ae3-9255-b14de2da0bc0	C3L-00016.RNA-Seq.R2.T	9be64798-0704-4670-98e6-14d37e34d359
C3L-00017_tissue_normal	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00017_tissue_normal.transcripts.gtf.gz	21760595	gtf	3e8cbfb9d22efd1e9a3da01c1995af03	tissue_normal	C3L-00017.RNA-Seq.R1.A	7829f978-5fd7-436a-9ec2-2e58a7bcb1f7	C3L-00017.RNA-Seq.R2.A	8f7d0b77-134e-4216-9d8d-411f0d7ed0ed
C3L-00017_tumor	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00017_tumor.transcripts.gtf.gz	21842404	gtf	559f81d1735c85b64c09885ebf51954e	tumor	C3L-00017.RNA-Seq.R1.T	d2b5f6b3-828b-4320-9e4d-4b2eaa4e7e6f	C3L-00017.RNA-Seq.R2.T	4f7a1cdc-e30a-407f-927d-3eb0e4185534
C3L-00019_tumor	GBM	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00019_tumor.transcripts.gtf.gz	22721189	gtf	0754c5d97e33053aa2a6e6bd36d5f849	tumor	C3L-00019.RNA-Seq.R1.T	7ae23e9f-db8a-4d48-9221-2e904d412114	C3L-00019.RNA-Seq.R2.T	dd80bb19-be20-4406-8aa8-f0761672fd0d
C3L-00081	LSCC	RNA-Seq_Transcript	v1	20190426	Y2	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_RNA-Seq_Transcript_v1_Y2.b1_20190426/C3L-00081_tissue_normal.transcripts.gtf.gz	20125936	gtf	41e02b243fccb37317893656e0641fc9	tissue_normal	C3L-00081.RNA-Seq.R1.A	c6af85e7-26e8-4b47-b8af-dde2bec71986	C3L-00081.RNA-Seq.R2.A	baa8c044-0465-4621-ad86-59a7fc812b9f
C3L-00081	LSCC	RNA-Seq_Transcript	v1	20190426	Y2	/CPTAC3.Y2_WashU/LSCC/CPTAC3_LSCC_RNA-Seq_Transcript_v1_Y2.b1_20190426/C3L-00081_tumor.transcripts.gtf.gz	21499647	gtf	5074e3a05150f59ecae36d116c8d10cc	tumor	C3L-00081.RNA-Seq.R1.T	3421ad64-9741-4c1a-8566-1ed87be793ed	C3L-00081.RNA-Seq.R2.T	5bbe2459-83d0-4ec4-af3d-349c07dd3ef6
C3L-00086_tumor	UCEC	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00086_tumor.transcripts.gtf.gz	20125760	gtf	3e68e11fb17abc21e1cea7566fc6482a	tumor	C3L-00086.RNA-Seq.R1.T	22637e03-59ca-4f1d-9b27-8fd59c36a403	C3L-00086.RNA-Seq.R2.T	a7f4b09e-21e5-4cff-b9ca-65af1932bf52
C3L-00102_tissue_normal	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00102_tissue_normal.transcripts.gtf.gz	20611364	gtf	b23e7ad280222b2581961c9b89b8ec8b	tissue_normal	C3L-00102.RNA-Seq.R1.A	893b0db2-7d98-4d74-af8c-93039af57455	C3L-00102.RNA-Seq.R2.A	f51f3a38-4291-448f-a064-3215b323e437
C3L-00102_tumor	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00102_tumor.transcripts.gtf.gz	21832829	gtf	0e8b3c55761609be8a41e3f12a816aa4	tumor	C3L-00102.RNA-Seq.R1.T	5002990e-a20d-4114-93ea-c5c09f148fed	C3L-00102.RNA-Seq.R2.T	2090faff-ade5-48df-a986-2d0902b1ee27
C3L-00104	GBM	RNA-Seq_Transcript	v1	20190426	Y2	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_RNA-Seq_Transcript_v1_Y2.b1_20190426/C3L-00104_tumor.transcripts.gtf.gz	23729048	gtf	00418bbbde42de24ff7cfe75e02ce527	tumor	C3L-00104.RNA-Seq.R1.T	a140b753-b805-40f4-90c0-25f726357d04	C3L-00104.RNA-Seq.R2.T	ebd6b26a-bbec-485a-9700-9a26cd0c2402
C3L-00165	CCRCC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-00165_tissue_normal.transcripts.gtf.gz	20770273	gtf	f6b53b3029619d5030358f7e8049d41d	tissue_normal	C3L-00165.RNA-Seq.R1.A	1ca1d1d3-5991-4813-a874-ad3c597e8cb1	C3L-00165.RNA-Seq.R2.A	91571914-4ac2-43d9-a36d-da56a6f6302f
C3L-00165	CCRCC	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-00165_tumor.transcripts.gtf.gz	18938828	gtf	6484f409060c04a9903ee080d0d13072	tumor	C3L-00165.RNA-Seq.R1.T	93af45b2-ef87-426d-90f3-0ba6a49db2cd	C3L-00165.RNA-Seq.R2.T	5c3699a8-1547-4721-afd1-ce7b6b255bae
C3L-00189_tumor	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00189_tumor.transcripts.gtf.gz	20018060	gtf	dce416c1a4038916a4b44370aa4a254d	tumor	C3L-00189.RNA-Seq.R1.T	beef0b1b-6b54-455b-914f-d774ee730e7b	C3L-00189.RNA-Seq.R2.T	5f5f8487-0642-4731-8db7-e1e194bdb9f5
C3L-00265_tumor	GBM	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00265_tumor.transcripts.gtf.gz	21501710	gtf	8c54537675010e2165c54d0eff57bc7d	tumor	C3L-00265.RNA-Seq.R1.T	02ff01eb-0972-4d0a-85b5-b4b099fc1854	C3L-00265.RNA-Seq.R2.T	060e65f9-e379-4618-865d-3b10bf8fbbad
C3L-00275	CM	RNA-Seq_Transcript	v1	20190807	Y2	/CPTAC3.Y2_WashU/CM/CPTAC3_CM_RNA-Seq_Transcript_v1_Y2.b3_20190807/C3L-00275_tumor.transcripts.gtf.gz	18047623	gtf	9af1f1c776ba8fbe6ccab67601c444d5	tumor	C3L-00275.RNA-Seq.R1.T	310fdc25-f963-4ce6-b5a3-e2f046bf12d0	C3L-00275.RNA-Seq.R2.T	a69bce17-00f5-45e4-8f3d-344b6d0734de
C3L-00277_tumor	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00277_tumor.transcripts.gtf.gz	21593537	gtf	4e23836916f4eaaaac35f5ffcf0d2f6f	tumor	C3L-00277.RNA-Seq.R1.T	a08adf4b-e3f8-4377-869e-aa7ce258cbdf	C3L-00277.RNA-Seq.R2.T	12732716-1c43-41b3-9def-bffbe95e960b
C3L-00278_tumor	GBM	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00278_tumor.transcripts.gtf.gz	22568413	gtf	a202c4d48d0f6e426e282a1c37725ee0	tumor	C3L-00278.RNA-Seq.R1.T	8602e4ce-ab89-4841-aad5-97737a5dc01e	C3L-00278.RNA-Seq.R2.T	3b826fe0-20cd-43f8-b81e-a8a38e7c8d01
C3L-00349_tumor	GBM	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00349_tumor.transcripts.gtf.gz	21303523	gtf	b34f98f20e1916a99067caef27fe12f0	tumor	C3L-00349.RNA-Seq.R1.T	511be7f0-f8ca-4a44-adef-caae528c002f	C3L-00349.RNA-Seq.R2.T	68b7a3ef-5a6b-4272-ae90-aa9b8dd30f42
C3L-00365	GBM	RNA-Seq_Transcript	v1	20190426	Y2	/CPTAC3.Y2_WashU/GBM/CPTAC3_GBM_RNA-Seq_Transcript_v1_Y2.b1_20190426/C3L-00365_tumor.transcripts.gtf.gz	22261142	gtf	820965d94a45f10532d8ae87af2fb9ee	tumor	C3L-00365.RNA-Seq.R1.T	c44ed7f2-1622-46de-804c-9611500c3fc0	C3L-00365.RNA-Seq.R2.T	1d5f90ed-8c7c-4482-a0fc-79d8520ef8ce
C3L-00395_tissue_normal	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00395_tissue_normal.transcripts.gtf.gz	19881761	gtf	43cd860ce6c265827a7162401b1f9dbf	tissue_normal	C3L-00395.RNA-Seq.R1.A	60af23f1-4a28-4fbe-a9da-547a52f9ae40	C3L-00395.RNA-Seq.R2.A	b61189fc-f6bf-4922-bbab-20cbc75ddcbe
C3L-00395_tumor	PDA	RNA-Seq_Transcript	v1.0	20190529	Y2	/CPTAC3.Y2_WashU/PDA/CPTAC3_PDA_RNA-Seq_Transcript_Splicing_v1.0_Y2.b2_20190529/C3L-00395_tumor.transcripts.gtf.gz	24262976	gtf	c1a934fcfa3db71daddb1a278830d88e	tumor	C3L-00395.RNA-Seq.R1.T	ad5886c9-bb87-453c-bf23-854d27a5db90	C3L-00395.RNA-Seq.R2.T	d43755e1-f5c2-4d7c-acd5-c860b264a4a2
