# case	disease	pipeline_name	pipeline_version	timestamp	C3Y	DCC_path	filesize	file_format	md5sum	sample_name	sample_uuid
C3L-00081	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-00081.maf.gz	18239886	MAF	f4d1e88e906d86e87d3533d5a7689a96	C3L-00081.WXS.N.hg38	ec948c00-910b-4c7b-82a7-4d209d377116
C3L-00081	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-00081.singleCaller.fixedHeader.vcf.gz	12140028	VCF	e112f8faa4d6196db893164b99739b01	C3L-00081.WXS.N.hg38	ec948c00-910b-4c7b-82a7-4d209d377116
C3L-00415	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-00415.maf.gz	18578087	MAF	05312e878d17f2fb938aa1c343a53d07	C3L-00415.WXS.N.hg38	9767a9c2-d36b-4cd8-b3bf-e007b9766cc1
C3L-00415	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-00415.singleCaller.fixedHeader.vcf.gz	13505675	VCF	09fb05898a6e3b314cb555aa2a9a8e72	C3L-00415.WXS.N.hg38	9767a9c2-d36b-4cd8-b3bf-e007b9766cc1
C3L-00445	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-00445.maf.gz	24878880	MAF	5e675896097ca7503809e1e106497585	C3L-00445.WXS.N.hg38	c84accfb-8a6a-4727-9b19-3ed0e410622e
C3L-00445	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-00445.singleCaller.fixedHeader.vcf.gz	15762342	VCF	65439f86541facac7fa5580fcedaad3d	C3L-00445.WXS.N.hg38	c84accfb-8a6a-4727-9b19-3ed0e410622e
C3L-00503	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-00503.maf.gz	18064596	MAF	92d8607f0ecbfd9eb8349f1a6eea4259	C3L-00503.WXS.N.hg38	24b3b72d-c3cb-4dc9-96d2-3e8cf9230b52
C3L-00503	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-00503.singleCaller.fixedHeader.vcf.gz	12109309	VCF	32d6b3e46df6b64bb7bfcd9de7925f3e	C3L-00503.WXS.N.hg38	24b3b72d-c3cb-4dc9-96d2-3e8cf9230b52
C3L-00568	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-00568.maf.gz	18647375	MAF	b7a80a77f5ff304241871b8d3e293e33	C3L-00568.WXS.N.hg38	63c3f570-84a2-4548-b619-ed7c70a38485
C3L-00568	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-00568.singleCaller.fixedHeader.vcf.gz	13010559	VCF	052e8bd7ea51faded4bfb9ce02286f15	C3L-00568.WXS.N.hg38	63c3f570-84a2-4548-b619-ed7c70a38485
